Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
arm_base_link,"-0,00263222915365038","-0,000332098550481226","0,0476250352231148",0,0,0,"0,200226640012258","0,00030515518623871","5,9193755234795E-09","-5,48255039093506E-06","0,000183595401496948","3,03172951946039E-10","0,000356726067861412",0,0,0,0,0,0,package://Lotti_arm_URDF4/meshes/arm_base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Lotti_arm_URDF4/meshes/arm_base_link.STL,,URDF_basis-1,base_system,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_link1_link,"4,41542086226931E-09","0,000122631739122248","0,0356096098271416",0,0,0,"0,227235996796303","0,000180809625442164","1,99972159337586E-12","3,65735427518995E-13","0,000141436764733896","-1,12077733619125E-07","0,000174149091246638",0,0,0,0,0,0,package://Lotti_arm_URDF4/meshes/arm_link1_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Lotti_arm_URDF4/meshes/arm_link1_link.STL,,URDF_schulter-1,shoulder_system,Achse8,arm_link1_joint,revolute,0,0,"0,0813",0,0,"1,5708",arm_base_link,0,0,-1,3,2,-3,3,,,,,,,,
arm_link2_link,"-0,0048507016693122","0,000134479355761746","0,151153269049844",0,0,0,"0,308407355142343","0,000536262443976751","-5,59401799937812E-07","4,55969735855309E-05","0,000463619869555736","-5,41211706294874E-05","0,00028846239166877",0,0,0,0,0,0,package://Lotti_arm_URDF4/meshes/arm_link2_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Lotti_arm_URDF4/meshes/arm_link2_link.STL,,URDF_oberarm-1,upper_arm_system,Achse9,arm_link2_joint,revolute,0,"0,002","0,093",0,"1,4835","-1,5708",arm_link1_link,0,1,0,3,2,"-1,5","1,5",,,,,,,,
arm_link3_link,"-2,34730375641978E-05","0,000222724116048956","0,121657320094858",0,0,0,"0,215223683624819","0,000187887481718192","1,29568722040644E-09","-2,48383575759051E-09","0,000177005795528886","-1,95381298527238E-05","5,96362197609908E-05",0,0,0,0,0,0,package://Lotti_arm_URDF4/meshes/arm_link3_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Lotti_arm_URDF4/meshes/arm_link3_link.STL,,URDF_unterarm-1,Koordinatensystem1,Achse10,arm_link3_joint,revolute,"-0,05",0,"0,29","-3,1416","-0,087266","-3,1416",arm_link2_link,0,1,0,3,2,"-1,5","1,5",,,,,,,,
arm_link4_link,"-6,45090288222683E-05","-2,78077069245236E-05","0,0421410408275518",0,0,0,"0,0799976203193007","2,98275167277768E-05","-3,7887086534939E-10","2,42643938146603E-10","1,60577540866642E-05","1,06831058124334E-09","2,00421216012606E-05",0,0,0,0,0,0,package://Lotti_arm_URDF4/meshes/arm_link4_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Lotti_arm_URDF4/meshes/arm_link4_link.STL,,URDF_hand_kipp-1,hand_pitch_system,Achse11,arm_link4_joint,revolute,0,"0,0006","0,26473",0,0,0,arm_link3_link,0,-1,0,3,2,"-1,5","1,5",,,,,,,,
arm_link5_link,"0,00382150605784218","-7,85621768924077E-05","0,0340017507140268",0,0,0,"0,0824183861074926","1,34651970301422E-05","1,06510176549428E-09","7,33151583060291E-09","3,06523685609497E-05","3,77177397775468E-10","3,09091303833254E-05",0,0,0,0,0,0,package://Lotti_arm_URDF4/meshes/arm_link5_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Lotti_arm_URDF4/meshes/arm_link5_link.STL,,URDF_hand_dreh-1,hand_yaw_system,Achse12,arm_link5_joint,revolute,"-0,00055","0,0001","0,074331",0,0,0,arm_link4_link,1,0,0,3,2,"-1,5","1,5",,,,,,,,
arm_link6_link,"0,0143574958730443","0,0022820490392805","0,0446512981777231",0,0,0,"0,110464975833159","3,80573356318646E-05","-6,92148846731947E-08","-1,6145100576273E-06","2,62917054320962E-05","7,34627654398345E-09","1,59336336306205E-05",0,0,0,0,0,0,package://Lotti_arm_URDF4/meshes/arm_link6_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Lotti_arm_URDF4/meshes/arm_link6_link.STL,,URDF_Greifer-1,hand_spin_system,Achse13,arm_link6_joint,revolute,"0,022033",0,"0,0668",0,0,0,arm_link5_link,0,0,1,3,2,-3,3,,,,,,,,
